bónus adicionais=bónus
bónus adicional=bónus
farandula de mendigos=farandula
farandulas de mendigos=farandulas
labareda de fogo=lambreda
labaredas de fogo=lambredas
milénio de mil anos=milénio
milénios de mil anos=milénios
quadriénio de quatro anos=quadriénio
quadriénios de quatro anos=quadriénios
biénio de dois anos=biénio
biénios de dois anos=biénios
triénio de três anos=triénio
triénios de três anos=triénios
quinquénio de cinco anos=quinquénio
quinquénios de cinco anos=quinquénios

