# Similar words: verb without accent, noun with accent; POS tag of the noun. 
# Used by AccentuationCheckRule.
# This file must be encoded in UTF-8.
domines;dómines;NCMP000
domino;dominó;NCMS000
domino;dómino;NCMS000
duplica;dúplica;NCFS000
duplicas;dúplicas;NCFP000
ejercito;ejército;NCMS000
embolo;émbolo;NCMS000
embroca;émbroca;NCFS000
embrocas;émbrocas;NCFP000
emula;émula;NCFS000
emulas;émulas;NCFP000
emulo;émulo;NCMS000
entrelinea;entrelínea;NCFS000
entrelineas;entrelíneas;NCFP000
epilogo;epílogo;NCMS000
epitome;epítome;NCMS000
epitomes;epítomes;NCMP000
equivoco;equívoco;NCMS000
escalamos;escálamos;NCMP000
especifico;específico;NCMS000
especulo;espéculo;NCMS000
espontanea;espontánea;NCFS000
espontaneas;espontáneas;NCFP000
espontaneo;espontáneo;NCMS000
esteres;ésteres;NCMP000
estimulo;estímulo;NCMS000
estipula;estípula;NCFS000
estipulas;estípulas;NCFP000
estomago;estómago;NCMS000
fabrica;fábrica;NCFS000
fabricas;fábricas;NCFP000
filosofa;filósofa;NCFS000
filosofas;filósofas;NCFP000
filosofo;filósofo;NCMS000
fines;finés;NCMS000
firman;firmán;NCMS000
flameo;flámeo;NCMS000
fletan;fletán;NCMS000
floculo;flóculo;NCMS000
fluores;flúores;NCMP000
folia;folía;NCFS000
folias;folías;NCFP000
formula;fórmula;NCFS000
formulas;fórmulas;NCFP000
fricando;fricandó;NCMS000
fricase;fricasé;NCMS000
fricases;fricasés;NCMP000
frio;frío;NCMS000
galibo;gálibo;NCMS000
gallara;gállara;NCFS000
gallaras;gállaras;NCFP000
gallaron;gallarón;NCMS000
garua;garúa;NCFS000
garuas;garúas;NCFP000
gañan;gañán;NCMS000
genero;género;NCMS000
granulo;gránulo;NCMS000
graten;gratén;NCMS000
guardes;guardés;NCMS000
guia;guía;NCCS000
guias;guías;NCCP000
habito;hábito;NCMS000
halara;hálara;NCFS000
halaras;hálaras;NCFP000
halogeno;halógeno;NCMS000
hibrido;híbrido;NCMS000
hidrogeno;hidrógeno;NCMS000
homologa;homóloga;NCFS000
homologas;homólogas;NCFP000
homologo;homólogo;NCMS000
idolatra;idólatra;NCCS000
idolatras;idólatras;NCCP000
ignifugo;ignífugo;NCMS000
incomodo;incómodo;NCMS000
incubo;íncubo;NCMS000
indice;índice;NCMS000
indices;índices;NCMP000
interlinea;interlínea;NCFS000
interlineas;interlíneas;NCFP000
interprete;intérprete;NCCS000
interpretes;intérpretes;NCCP000
intima;íntima;NCFS000
intimas;íntimas;NCFP000
invalida;inválida;NCFS000
invalidas;inválidas;NCFP000
invalido;inválido;NCMS000
jubilo;júbilo;NCMS000
kilometro;kilómetro;NCMS000
lagrima;lágrima;NCFS000
lagrimas;lágrimas;NCFP000
lame;lamé;NCMS000
lames;lamés;NCMP000
lamina;lámina;NCFS000
laminas;láminas;NCFP000
lapida;lápida;NCFS000
lapidas;lápidas;NCFP000
lastima;lástima;NCFS000
lastimas;lástimas;NCFP000
laudanos;láudanos;NCMP000
laudes;laúdes;NCMP000
legamos;légamos;NCMP000
leganos;léganos;NCMP000
legitima;legítima;NCFS000
legitimas;legítimas;NCFP000
lia;lía;NCFS000
lias;lías;NCFP000
liberes;líberes;NCMP000
libero;líbero;NCMS000
lideres;líderes;NCCP000
limite;límite;NCMS000
limites;límites;NCMP000
linea;línea;NCFS000
lineas;líneas;NCFP000
lio;lío;NCMS000
liquida;líquida;NCFS000
liquidas;líquidas;NCFP000
liquido;líquido;NCMS000
llamaron;llamarón;NCMS000
lubrican;lubricán;NCMS000
maca;macá;NCMS000
macas;macás;NCMP000
macula;mácula;NCFS000
