# This file has list of words that need to be removed in disamibguator.
# These worms are in the dictionary but extremely rare and cause ambiguity for frequent words.
# Anything with conditional logic should go into disambiguation.xml

А-БА-БА-ГА-ЛА-МА-ГА а-ба-ба-га-ла-ма-га noun:inanim:f:v_naz:prop:bad
дрібним дрібнити verb:imperf:pres:p:1:subst
друзі друза noun:inanim:f:v_.*
дурнів дурніти verb:imperf:past:m
дурній дурніти verb:imperf:impr:s:2
духмяній духмяніти verb:imperf:impr:s:2
евакуйовано евакуювати verb:imperf:impers        # добрий лише :perf
Європи європи noun:inanim:p:v_.*                # маємо добрий :prop з великої
жалю жалити verb:imperf:pres:s:1
Женю женити verb:perf:futr:s:1
жести жесть noun:inanim:f:v_rod:slang:ua_2019
живим живити verb:imperf:pres:p:1:subst
жило жила noun:.*
жовтим жовтити verb:imperf:pres:p:1:subst
жовтій жовтіти verb:imperf:impr:s:2
заброди забродити verb:perf:impr:s:2
забутим забутити verb:perf:futr:p:1:subst
завершать завершати verb:imperf:inf:rare:short
зависне зависний adj:n.*
заводним заводнити verb:perf:futr:p:1:subst
заграв заграва noun:inanim:p:v_rod
закривав закривавити verb:perf:impr:s:2
замах зам noun:anim:p:v_mis:bad
заможній заможніти verb:imperf:impr:s:2
занепаду занепасти verb:perf:futr:s:1
зарплатні зарплатний adj:p:.*
заслужено заслужити verb:perf:impers
застій застояти verb:perf:impr:s:2
застою застояти verb:perf:futr:s:1
затісним затіснити verb:perf:futr:p:1:subst
затію затіяти verb:perf:futr:s:1
заяви заявити verb:perf:impr:s:2
збірні збірня noun:inanim:f:.*
збори збороти verb:perf:impr:s:2
звели звеліти verb:perf:impr:s:2
згасне згасний adj:n:.*
згоди згодити verb:perf:impr:s:2:xp2
здоровило здоровити verb:imperf:past:n
здоровим здоровити verb:imperf:pres:p:1:subst
здорові здір noun:inanim:m:v_.*
зеленим зеленити verb:imperf:pres:p:1:subst
зів'ялим зів'ялити verb:perf:futr:p:1:subst
злим злити verb:imperf:pres:p:1:subst.*
злісний злісний noun:anim:m:.*
злодієм злодіяти verb:imperf:pres:p:1:subst
злодій злодіяти verb:imperf:impr:s:2
