# Words that have two valid spellings. Used by WordCoherencyRule.
# This file must be encoded in UTF-8.
# NOTE: to also find fullforms (e.g. mejlet, mejlens), those 
# forms may need to be added to added.txt
co-location;colocation
e-brev;e-mejl
e-mejl;e-mail
jos;juice
facett;fasett
facetten;fasetten
kasino;casino
mejl;mail
te;the

