bônus adicionais=bônus
bônus adicional=bônus
labareda de fogo=labareda
labaredas de fogo=labaredas
milênio de mil anos=milênio
milênios de mil anos=milênios
quadriênio de quatro anos=quadriênio
quadriênios de quatro anos=quadriênios
biênio de dois anos=biênio
biênios de dois anos=biênios
triênio de três anos=triênio
triênios de três anos=triênios
quinquênio de cinco anos=quinquênio
quinquênios de cinco anos=quinquênios

