#English multiwords file used for EnglishHybridDisambiguator
# Use this file only for multi-word terms that have these properties: 1) disambiguation is not necessary. 2) the term has only one part of speech (NOT sotto voce, which is RB and JJ).
# Do not add the term to spelling.txt, because spelling is ignored automatically for each term in this file.
# Terms are case-sensitive, but for each term, POS is added and spelling is ignored for (1) all uppercase text and (2) for text that has a capital letter for the first character of the first word.
All Saints Sisters of the Poor	NNP # www.allsaintssistersofthepoor.org.uk
Parsippany-Troy Hills	NNP
Saint Germain	NNP
Travis CI	NNP
Los Zetas	NNP
Gomhoria Shebeen	NNP
David Ige	NNP
Jared Polis	NNP
Asa Hutchinson	NNP
Tim Walz	NNP
Chris Sununu	NNP
Doug Burgum	NNP
Kevin Stitt	NNP
Gina Raimondo	NNP
Kristi Noem	NNP
Tony Evers	NNP
Muriel Bowser	NNP
LG Chem	NNP
LG Chemical	NNP
Opel Ampera	NNP
glycolic acid	NN:U
Rio Rancho	NNP
Casas Adobes	NNP
Lake Havasu	NNP
Oro Valley	NNP
West Allis	NNP
Menomonee Falls	NNP
Mililani Town	NNP
Ewa Gentry	NNP
verruca vulgaris	NN
verruca vulgarises	NNS
Shawty Lo	NNP
Kaleyard School	NNP
Eddie Van Halen	NNP
Dick Van Dyke	NNP
Truman Capote	NNP
Al Nahyan	NNP
Reckitt Benckiser	NNP
Cillit Bang	NNP
Air Wick	NNP
Pensacola Beach	NNP
Escambia County	NNP
After Effects	NNP
Cádiz y Algeciras	NNP
Cádiz y Ceuta	NNP
Cádiz y Málaga	NNP
Costa de la Luz	NNP
Ford Bronco	NNP
Dhaleshwari River	NNP
Moto X	NNP
Moto G	NNP
Moto E	NNP
Moto 360	NNP
Moto Razr	NNP
Audi Quattro	NNP
Lamborghini Gallardo	NNP
Porsche 550 Spyder	NNP
Porsche Spyder	NNP
Toyota MR2	NNP
Secret Escapes	NNP
Umatilla County	NNP
Nittany Lions	NNP
Neyland Stadium	NNP
Tiger Stadium	NNP
Oklahoma Sooners	NNPS
Lambeau Field	NNP
Doak Campbell	NNP
Mercedes-Benz Superdome	NNP
Faurot Field	NNP
Redbox Bowl	NNP
Kinnick Stadium	NNP
Virginia Tech Hokies	NNP
Gasparilla Bowl	NNP
Lucas Oil	NNP
Puerto Rican	NNP
Puerto Ricans	NNPS
Puerto Rican	JJ
Costa Rican	NNP
Costa Ricans	NNPS
Costa Rican	JJ
AMC Theatres	NNP
AMD Athlon	NNP
