# Words that have two valid spellings (refer to https://github.com/languagetool-org/languagetool/issues/834). Used by WordCoherencyRule.
# For words that can have both initial uppercase and initial lowercase (romanise/Romanise), refer to https://forum.languagetool.org/t/coherency-rules-for-words-such-as-christianize-and-balkanize/3505/2
# This file must be encoded in UTF-8.
# NOTE: 
# 1) The comparison between two variants is based on the word's base form 
#    (Hence, variants which have the same base form such as 'cancelled' and 'canceled' are [currently] not detected)
# 2) to find fullforms those forms may need to be added to added.txt
# absinth;absinthe: https://wikidiff.com/absinth/absinthe
# gram;gramme. https://en.wikipedia.org/wiki/Gram_flour
# meter;metre: meter is an instrument and a unit of measurement.
# prise;prize: in BrE, both spellings are possible for the verb, but the noun is prize.
# whiskey;whisky. https://www.collinsdictionary.com/dictionary/english/whiskey
passivisation;passivization
passivise;passivize
pasteurisation;pasteurization
pasteurise;pasteurize
pasteurised;pasteurized
pasteuriser;pasteurizer
pathologise;pathologize
patinise;patinize
patrialisation;patrialization
patrialise;patrialize
patronisation;patronization
patronise;patronize
pauperisation;pauperization
pauperise;pauperize
pearlise;pearlize
pectisable;pectizable
pectisation;pectization
pectise;pectize
peculiarise;peculiarize
pedestrianisation;pedestrianization
pedestrianise;pedestrianize
pelletisation;pelletization
pelletise;pelletize
pelletiser;pelletizer
penalisation;penalization
penalise;penalize
peptisable;peptizable
peptisation;peptization
peptise;peptize
peptiser;peptizer
peptonisation;peptonization
peptonise;peptonize
peptoniser;peptonizer
perennialise;perennialize
periodisation;periodization
periodise;periodize
peripheralise;peripheralize
permeabilise;permeabilize
peroxidise;peroxidize
Persianised;Persianized
Persianising;Persianizing
personalisation;personalization
personalise;personalize
personalised;personalized
pessimise;pessimize
petagram;petagramme
phagocytise;phagocytize
philosophise;philosophize
philosophiser;philosophizer
phlebotomise;phlebotomize
phonemicise;phonemicize
photoionisation;photoionization
photoionise;photoionize
photosensitisation;photosensitization
photosensitise;photosensitize
photosensitiser;photosensitizer
photosynthesise;photosynthesize
physicalise;physicalize
picogram;picogramme
pictorialise;pictorialize
picturise;picturize
pidginisation;pidginization
pidginise;pidginize
pilgrimise;pilgrimize
pisé;pise
plagiarisation;plagiarization
plagiarise;plagiarize
plagiariser;plagiarizer
plasticise;plasticize
platinisation;platinization
platinise;platinize
Platonise;Platonize
plebeianise;plebeianize
plug-in;plugin
pluralisation;pluralization
pluralise;pluralize
pluraliser;pluralizer
poeticise;poeticize
poetise;poetize
polarisability;polarizability
polarisable;polarizable
polarisation;polarization
polarise;polarize
polariser;polarizer
polemicise;polemicize
politicalise;politicalize
politicisation;politicization
politicise;politicize
polonise;polonize
polygamise;polygamize
polygonise;polygonize
polymerisable;polymerizable
polymerisation;polymerization
polymerise;polymerize
popularisation;popularization
popularise;popularize
populariser;popularizer
porcellanise;porcellanize
posterise;posterize
potentialise;potentialize
potentise;potentize
powderise;powderize
pragmatisation;pragmatization
preconisation;preconization
preconise;preconize
premiumise;premiumize
pre-qualify;prequalify
pressurisation;pressurization
pressurise;pressurize
pressuriser;pressurizer
preventable;preventible
previsualise;previsualize
prioritisation;prioritization
prioritise;prioritize
privatisation;privatization
privatise;privatize
privatiser;privatizer
problematise;problematize
productionise;productionize
productisation;productization
productise;productize
professionalisation;professionalization
professionalise;professionalize
proletarianisation;proletarianization
proletarianise;proletarianize
propagandise;propagandize
prophesise;prophesize
proselytisation;proselytization
proselytise;proselytize
proselytiser;proselytizer
provincialisation;provincialization
Prussianisation;Prussianization
Prussianise;Prussianize
psalmodise;psalmodize
psychologise;psychologize
publicise;publicize
pulverisable;pulverizable
pulverisation;pulverization
pulverise;pulverize
pulveriser;pulverizer
puritanise;puritanize
quantisable;quantizable
quantisation;quantization
quantise;quantize
racemise;racemize
racialise;racialize
radialisation;radialization
radialise;radialize
radicalisation;radicalization
radicalise;radicalize
radiosensitise;radiosensitize
raisable;raiseable
randomisation;randomization
randomise;randomize
rasterisation;rasterization
rasterise;rasterize
rationalisable;rationalizable
rationalisation;rationalization
rationalise;rationalize
rationaliser;rationalizer
reacclimatise;reacclimatize
realisability;realizability
realisable;realizable
realisably;realizably
realisation;realization
realise;realize
realiser;realizer
reauthorise;reauthorize
recanalisation;recanalization
recanalise;recanalize
recapitalisation;recapitalization
recapitalise;recapitalize
recategorisation;recategorization
recategorise;recategorize
recognisability;recognizability
recognisable;recognizable
recognisably;recognizably
recognisance;recognizance
recognise;recognize
recogniser;recognizer
recolonise;recolonize
reconceptualise;reconceptualize
recontextualise;recontextualize
recrystallisation;recrystallization
recrystallise;recrystallize
re-educate;reeducate
re-elect;reelect
re-energise;re-energize
re-enter;reenter
re-establish;reestablish
re-examine;reexamine
reflection;reflexion
reflectorise;reflectorize
reflexivise;reflexivize
regionalisation;regionalization
regionalise;regionalize
regularisation;regularization
regularise;regularize
rehospitalisation;rehospitalization
rehospitalise;rehospitalize
rehumanise;rehumanize
rehypnotise;rehypnotize
reindustrialise;reindustrialize
reionise;reionize
relativise;relativize
remagnetise;remagnetize
rematerialise;rematerialize
remilitarisation;remilitarization
remilitarise;remilitarize
remineralisation;remineralization
remineralise;remineralize
remobilisation;remobilization
remobilise;remobilize
remonetisation;remonetization
remonetise;remonetize
remoralise;remoralize
remythologise;remythologize
renationalisation;renationalization
renationalise;renationalize
renormalisation;renormalization
renormalise;renormalize
reorganisation;reorganization
reorganise;reorganize
reorganiser;reorganizer
reoxidise;reoxidize
repolarisation;repolarization
repolarise;repolarize
repopularise;repopularize
repressurisation;repressurization
repressurise;repressurize
reprivatise;reprivatize
republicanisation;republicanization
republicanise;republicanize
re-raise; reraise
resacralise;resacralize
resensitise;resensitize
resinise;resinize
resocialise;resocialize
respectabilise;respectabilize
respiritualise;respiritualize
restabilise;restabilize
resynchronise;resynchronize
resynthesise;resynthesize
reterritorialise;reterritorialize
retexturise;retexturize
retroflection;retroflexion
reutilise;reutilize
revalorise;revalorize
revascularisation;revascularization
revascularise;revascularize
revisualisation;revisualization
revisualise;revisualize
revitalisation;revitalization
revitalise;revitalize
revolutionise;revolutionize
rhapsodise;rhapsodize
ridiculise;ridiculize
rigidise;rigidize
ritualise;ritualize
rivalise;rivalize
robotisation;robotization
robotise;robotize
romanisation;romanization
romanise;romanize
romaniser;romanizer
romanticisation;romanticization
romanticise;romanticize
ropy;ropey
routinisation;routinization
routinise;routinize
rubberise;rubberize
ruggedise;ruggedize
ruralise;ruralize
Russianisation;Russianization
Russianise;Russianize
rusticise;rusticize
sacralise;sacralize
sacramentalise;sacramentalize
salinisation;salinization
salinise;salinize
Sanforised;Sanforized
sanitisation;sanitization
sanitise;sanitize
sanitiser;sanitizer
satanise;satanize
satinise;satinize
satirisable;satirizable
satirisation;satirization
satirise;satirize
satiriser;satirizer
scandalisation;scandalization
scandalise;scandalize
scandaliser;scandalizer
scenarise;scenarize
schematisation;schematization
schematise;schematize
schismatise;schismatize
scientise;scientize
sclerotise;sclerotize
scrutinisation;scrutinization
scrutinise;scrutinize
scrutiniser;scrutinizer
sectarianise;sectarianize
sectionalise;sectionalize
sectionisation;sectionization
sectionise;sectionize
sectorisation;sectorization
sectorise;sectorize
secularisation;secularization
secularise;secularize
secularised;secularized
seculariser;secularizer
securitisation;securitization
securitise;securitize
sensationalise;sensationalize
sensitisation;sensitization
sensitise;sensitize
sensitiser;sensitizer
sensualisation;sensualization
sensualise;sensualize
sentimentalisation;sentimentalization
sentimentalise;sentimentalize
sequelise;sequelize
serialisable;serializable
serialisation;serialization
serialise;serialize
sericitisation;sericitisation
sermonise;sermonize
serpentinise;serpentinize
sexualisation;sexualization
sexualise;sexualize
shamanise;shamanize
sherardisation;sherardization
sherardise;sherardize
shiitake;shitake
signalisation;signalization
signalise;signalize
siliconise;siliconize
silverise;silverize
simonise;simonize
singularisation;singularization
singularise;singularize
Sinicisation;Sinicization
sinicise;sinicize
sirenise;sirenize
skeletonise;skeletonize
slenderise;slenderize
sloganise;sloganize
socialisable;socializable
socialisation;socialization
socialise;socialize
socialiser;socializer
sociologise;sociologize
sodomisation;sodomization
sodomise;sodomize
solarisation;solarization
solarise;solarize
solecise;solecize
solemnisation;solemnization
solemnise;solemnize
soliloquise;soliloquize
solmisation;solmization
solonisation;solonization
solubilisation;solubilization
solubilise;solubilize
somatise;somatize
sovietisation;sovietization
sovietise;sovietize
spatialise;spatialize
specialisation;specialization
specialise;specialize
specialised;specialized
spheroidisation;spheroidization
spheroidise;spheroidize
spiralise;spiralize
spiritualisation;spiritualization
spiritualise;spiritualize
spiritualiser;spiritualizer
spirituel;spirituelle
splenectomise;splenectomize
stabilisation;stabilization
stabilise;stabilize
stabiliser;stabilizer
standardisable;standardizable
standardisation;standardization
standardise;standardize
standardiser;standardizer
sterilisable;sterilizable
sterilisation;sterilization
sterilise;sterilize
steriliser;sterilizer
stigmatisation;stigmatization
stigmatise;stigmatize
strategise;strategize
structuralise;structuralize
stylisation;stylization
stylise;stylize
subcategorisation;subcategorization
subcategorise;subcategorize
suberisation;suberization
suberise;suberize
subitise;subitize
subjectivisation;subjectivization
subjectivise;subjectivize
sublimise;sublimize
suboptimisation;suboptimization
suboptimise;suboptimize
subsidisable;subsidizable
subsidisation;subsidization
subsidise;subsidize
subsidised;subsidized
subsidiser;subsidizer
subspecialise;subspecialize
substantialise;substantialize
subtilise;subtilize
suburbanisation;suburbanization
suburbanise;suburbanize
subvocalisation;subvocalization
subvocalise;subvocalize
sulphurise;sulphurize
summarisable;summarizable
summarisation;summarization
summarise;summarize
summariser;summarizer
superficialise;superficialize
syllogisation;syllogization
syllogise;syllogize
syllogiser;syllogizer
symbolisation;symbolization
symbolise;symbolize
symmetrisation;symmetrization
symmetrise;symmetrize
sympathise;sympathize
synchronisation;synchronization
synchronise;synchronize
synchroniser;synchronizer
syncretise;syncretize
synergise;synergize
synonymise;synonymize
synopsise;synopsize
synthesise;synthesize
synthesiser;synthesizer
syntonise;syntonize
systematic;systematical
systematisation;systematization
systematise;systematize
systematiser;systematizer
systemise;systemize
tabularisation;tabularization
Talibanisation;Talibanization
Talibanise;Talibanize
tanalise;tanalize
tantalisation;tantalization
tantalise;tantalize
tantaliser;tantalizer
tartarisation;tartarization
tartarise;tartarize
tautomerise;tautomerize
taxonomise;taxonomize
technicise;technicize
technologise;technologize
telepathise;telepathize
temporisation;temporization
temporise;temporize
tenderisation;tenderization
tenderise;tenderize
tenderiser;tenderizer
teragram;teragramme
territorialise;territorialize
terrorisation;terrorization
terrorise;terrorize
terroriser;terrorizer
testimonialise;testimonialize
tetanisation;tetanization
tetanise;tetanize
Teutonisation;Teutonization
Teutonise;Teutonize
texturise;texturize
theatricalise;theatricalize
thematise;thematize
theologise;theologize
theorisation;theorization
theorise;theorize
theoriser;theorizer
therapise;therapize
thermalisation;thermalization
thermalise;thermalize
tokamak;tokomak
tokenisation;tokenization
tokenise;tokenize
topicalise;topicalize
totalisation;totalization
totalisator;totalizator
totalise;totalize
tranquilize;tranquillize
tranquillisation;tranquillization
tranquillise;tranquillize
tranquilliser;tranquillizer
transistorise;transistorize
traumatisation;traumatization
traumatise;traumatize
trichinisation;trichinization
trichinise;trichinize
trivialisation;trivialization
trivialise;trivialize
tropicalise;tropicalize
trypsinise;trypsinize
tutorise;tutorize
tyrannise;tyrannize
Uberisation;Uberization
Uberise;Uberize
unappetising;unappetizing
unappetisingly;unappetizingly
unauthorised;unauthorized
unbowdlerise;unbowdlerize
uncapitalised;uncapitalized
uncategorisable;uncategorizable
uncrystallised;uncrystallized
underemphasise;underemphasize
underutilisation;underutilization
underutilise;underutilize
unionisation;unionization
unionise;unionize
unitisation;unitization
unitise;unitize
universalisability;universalizability
universalisation;universalization
universalise;universalize
unlearned;unlearnt
unmistakable;unmistakeable
unmistakably;unmistakeably
unpatronising;unpatronizing
unpolarisable;unpolarizable
unrealisable;unrealizable
unrecognisable;unrecognizable
unrecognisably;unrecognizably
unsocialised;unsocialized
unspecialised;unspecialized
unspoiled;unspoilt
unverbalised;unverbalized
uralitise;uralitize
urbanisation;urbanization
urbanise;urbanize
urbanised;urbanized
utilisable;utilizable
utilisation;utilization
utilise;utilize
utiliser;utilizer
utopianise;utopianize
valorisation;valorization
valorise;valorize
vampirise;vampirize
vandalisation;vandalization
vandalise;vandalize
vaporisable;vaporizable
vaporisation;vaporization
vaporise;vaporize
vaporiser;vaporizer
vascularise;vascularize
vasectomise;vasectomize
vassalise;vassalize
vectorisation;vectorization
vectorise;vectorize
venesection;venisection
ventriloquise;ventriloquize
verbalisable;verbalizable
verbalisation;verbalization
verbalise;verbalize
verbaliser;verbalizer
vernacularise;vernacularize
vernalise;vernalize
verticalise;verticalize
vice;vise
victimisation;victimization
victimise;victimize
victimiser;victimizer
Vietnamisation;Vietnamization
virilisation;virilization
virilise;virilize
virtualisation;virtualization
virtualise;virtualize
visualisable;visualizable
visualisation;visualization
visualise;visualize
visualiser;visualizer
vitalisation;vitalization
vitalise;vitalize
vitriolisation;vitriolization
vocalisation;vocalization
vocalise;vocalize
vocaliser;vocalizer
vocationalise;vocationalize
volatilisable;volatilizable
volatilise;volatilize
volcanisation;volcanization
volcanise;volcanize
volumise;volumize
voucherise;voucherize
vowelisation;vowelization
vowelise;vowelize
vulcanisable;vulcanizable
vulcanisation;vulcanization
vulcanise;vulcanize
vulcaniser;vulcanizer
vulgarisation;vulgarization
vulgarise;vulgarize
weaponise;weaponize
weatherise;weatherize
westernisation;westernization
westernise;westernize
westerniser;westernizer
womanise;womanize
womaniser;womanizer
yoctogram;yoctogramme
yottagram;yottagramme
zeptogram;zeptogramme
zettagram;zettagramme
