# Words that have two valid spellings (refer to https://github.com/languagetool-org/languagetool/issues/834). Used by WordCoherencyRule.
# For words that can have both initial uppercase and initial lowercase (romanise/Romanise), refer to https://forum.languagetool.org/t/coherency-rules-for-words-such-as-christianize-and-balkanize/3505/2
# This file must be encoded in UTF-8.
# NOTE: 
# 1) The comparison between two variants is based on the word's base form 
#    (Hence, variants which have the same base form such as 'cancelled' and 'canceled' are [currently] not detected)
# 2) to find fullforms those forms may need to be added to added.txt
# absinth;absinthe: https://wikidiff.com/absinth/absinthe
# gram;gramme. https://en.wikipedia.org/wiki/Gram_flour
# meter;metre: meter is an instrument and a unit of measurement.
# prise;prize: in BrE, both spellings are possible for the verb, but the noun is prize.
# whiskey;whisky. https://www.collinsdictionary.com/dictionary/english/whiskey
commoditisation;commoditization
commoditise;commoditize
communalise;communalize
communisation;communization
communise;communize
compartmentalisation;compartmentalization
compartmentalise;compartmentalize
componentisation;componentization
componentise;componentize
comprehensivise;comprehensivize
computerisable;computerizable
computerisation;computerization
computerise;computerize
conceptualisation;conceptualization
conceptualise;conceptualize
conceptualiser;conceptualizer
concertise;concertize
concretisation;concretization
concretise;concretize
conditionalisation;conditionalization
connection;connexion
conscientise;conscientize
conservatise;conservatize
consigner;consignor
constitutionalise;constitutionalize
containerisation;containerization
containerise;containerize
contemporise;contemporize
contextualisation;contextualization
contextualise;contextualize
convener;convenor
conventionalise;conventionalize
conveyorisation;conveyorization
conveyorise;conveyorize
co-ordinate;coordinate
co-pilot;copilot
copolymerisation;copolymerization
copolymerise;copolymerize
cordialise;cordialize
corporatise;corporatize
cosmeticise;cosmeticize
cosmetise;cosmetize
counter-attack;counterattack
counter-clockwise;counterclockwise
creolise;creolize
cretinise;cretinize
criminalisation;criminalization
criminalise;criminalize
criticisable;criticizable
criticise;criticize
crystallisable;crystallizable
crystallisation;crystallization
crystallise;crystallize
culturalise;culturalize
customisable;customizable
customisation;customization
customise;customize
cutey;cutie
cutinise;cutinize
cut-out;cutout
cyanise;cyanize
cyclise;cyclize
czar;tsar
deaminise;deaminize
decagram;decagramme
decapitalise;decapitalize
decarbonise;decarbonize
decarburisation;decarburization
decarburise;decarburize
decartelise;decartelize
decasualise;decasualize
decentralisation;decentralization
decentralise;decentralize
dechristianise;dechristianize
decigram;decigramme
decimalisation;decimalization
decimalise;decimalize
decitizenise;decitizenize
decivilise;decivilize
decolonisation;decolonization
decolonise;decolonize
decolorise;decolorize
decolourise;decolourize
decommunise;decommunize
decompartmentalise;decompartmentalize
decontextualise;decontextualize
decriminalisation;decriminalization
decriminalise;decriminalize
dedramatise;dedramatize
de-emphasise;de-emphasize
de-energisation;de-energization
de-energise;de-energize
defamiliarise;defamiliarize
defeminisation;defeminization
defeminise;defeminize
defeudalise;defeudalize
definitise;definitize
deflection;deflexion
deformalise;deformalize
deglamorise;deglamorize
dehumanisation;dehumanization
dehumanise;dehumanize
dehydrogenise;dehydrogenize
dehydrogenization;dehydrogenation
dehypnotisation;dehypnotization
dehypnotise;dehypnotize
deindustrialise;deindustrialize
deinstitutionalise;deinstitutionalize
deionisation;deionization
deionise;deionize
deioniser;deionizer
delegitimisation;delegitimization
delegitimise;delegitimize
delocalisation;delocalization
delocalise;delocalize
demagnetisable;demagnetizable
demagnetisation;demagnetization
demagnetise;demagnetize
demagnetiser;demagnetizer
dematerialise;dematerialize
demilitarisation;demilitarization
demilitarise;demilitarize
demineralisation;demineralization
demineralise;demineralize
demineraliser;demineralizer
demobilisation;demobilization
demobilise;demobilize
democratisation;democratization
democratise;democratize
demonetisation;demonetization
demonetise;demonetize
demonisation;demonization
demonise;demonize
demonopolise;demonopolize
demoralisation;demoralization
demoralise;demoralize
demutualisation;demutualization
demutualise;demutualize
demythologise;demythologize
demythologiser;demythologizer
denationalisation;denationalization
denationalise;denationalize
denaturalise;denaturalize
denaturise;denaturize
denisation;denization
denormalisation;denormalization
denormalise;denormalize
dentalise;dentalize
denuclearise;denuclearize
deodorisation;deodorization
deodorise;deodorize
deodoriser;deodorizer
deoxidise;deoxidize
deoxidiser;deoxidizer
departmentalisation;departmentalization
departmentalise;departmentalize
depauperise;depauperize
depersonalisation;depersonalization
depersonalise;depersonalize
depolarisation;depolarization
depolarise;depolarize
depolariser;depolarizer
depoliticisation;depoliticization
depoliticise;depoliticize
depolymerisation;depolymerization
depolymerise;depolymerize
depressurisation;depressurization
depressurise;depressurize
deproteinise;deproteinize
deputisation;deputization
deputise;deputize
deracialise;deracialize
deradicalise;deradicalize
derealisation;derealization
derealised;derealized
derecognise;derecognize
dereligionise;dereligionize
derivatise;derivatize
desacralise;desacralize
desalinisation;desalinization
desensitisation;desensitization
desensitise;desensitize
desensitiser;desensitizer
desexualise;desexualize
despatch;dispatch
despiritualise;despiritualize
destabilisation;destabilization
destabilise;destabilize
de-Stalinisation;de-Stalinization
destalinise;destalinize
de-Stalinise;de-Stalinize
destigmatise;destigmatize
desulphurise;desulphurize
desynchronisation;desynchronization
desynchronise;desynchronize
deterritorialise;deterritorialize
detribalisation;detribalization
detribalise;detribalize
devalorisation;devalorization
devalorise;devalorize
devitalise;devitalize
devocalise;devocalize
diabolise;diabolize
diagonalisable;diagonalizable
diagonalisation;diagonalization
diagonalise;diagonalize
dialogise;dialogize
diarise;diarize
diazotisation;diazotization
diazotise;diazotize
dichotomise;dichotomize
dieselise;dieselize
digitalisation;digitalization
digitalise;digitalize
digitisation;digitization
digitise;digitize
digitiser;digitizer
dimerisation;dimerization
dimerise;dimerize
diphthongisation;diphthongization
diphthongise;diphthongize
disauthorise;disauthorize
disconnection;disconnexion
discretise;discretize
disharmonise;disharmonize
disillusionise;disillusionize
disincentivise;disincentivize
disnaturalise;disnaturalize
disorganisation;disorganization
disorganise;disorganize
disorganised;disorganized
disorganiser;disorganizer
dispauperise;dispauperize
dissocialise;dissocialize
divinisation;divinization
divinise;divinize
divisionalise;divisionalize
dogmatise;dogmatize
dollarisation;dollarization
dollarise;dollarize
dolomitise;dolomitize
dorise;dorize
doughnut;donut
dramatisable;dramatizable
dramatisation;dramatization
dramatise;dramatize
dramatiser;dramatizer
drily;dryly
dualise;dualize
dynamise;dynamize
Ebionise;Ebionize
ebonise;ebonize
economisation;economization
economise;economize
economiser;economizer
editorialisation;editorialization
editorialise;editorialize
editorialiser;editorializer
effeminise;effeminize
egotise;egotize
Egyptianise;Egyptianize
elasticise;elasticize
elegise;elegize
emblematise;emblematize
emblemise;emblemize
embolisation;embolization
embolise;embolize
emigré;emigre
émigré;emigre
émigré;emigré
emotionalise;emotionalize
empathise;empathize
emperise;emperize
emphasise;emphasize
energisation;energization
energise;energize
engrain;ingrain
enolisable;enolizable
enolisation;enolization
enquire;inquire
enquiry;inquiry
epicurise;epicurize
epimerise;epimerize
episcopise;episcopize
epithelialise;epithelialize
epitomisation;epitomization
epitomise;epitomize
epitomiser;epitomizer
epoxidise;epoxidize
equalisation;equalization
equalise;equalize
equaliser;equalizer
erodable;erodible
eroticise;eroticize
erotisation;erotization
erotise;erotize
essentialise;essentialize
eternalise;eternalize
eternise;eternize
etherealise;etherealize
etherise;etherize
ethicise;ethicize
etymologise;etymologize
eulogise;eulogize
euphemise;euphemize
euphemiser;euphemizer
euphonise;euphonize
Europeanisation;Europeanization
Europeanise;Europeanize
euthanise;euthanize
evangelisation;evangelization
evangelise;evangelize
evangeliser;evangelizer
eventualise;eventualize
evolutionise;evolutionize
exagram;exagramme
exorcise;exorcize
exoticise;exoticize
experimentalise;experimentalize
extemporisation;extemporization
extemporise;extemporize
extendable;extendible
exteriorise;exteriorize
externalisation;externalization
externalise;externalize
factionalise;factionalize
factorisable;factorizable
factorisation;factorization
factorise;factorize
familiarisation;familiarization
familiarise;familiarize
familiariser;familiarizer
fanaticise;fanaticize
fantasise;fantasize
faradisation;faradization
faradiser;faradizer
federalisation;federalization
federalise;federalize
feminisation;feminization
feminise;feminize
femtogram;femtogramme
feralised;feralized
fertilisable;fertilizable
fertilisation;fertilization
fertilise;fertilize
fertiliser;fertilizer
fetishise;fetishize
feudalisation;feudalization
feudalise;feudalize
fiberisation;fiberization
fiberise;fiberize
fictionalisation;fictionalization
fictionalise;fictionalize
finalisation;finalization
finalise;finalize
finaliser;finalizer
financialisation;financialization
Finlandise;Finlandize
flection;flexion
fluidisation;fluidization
fluidise;fluidize
fluidiser;fluidizer
focalise;focalize
formalisable;formalizable
formalisation;formalization
formalise;formalize
formaliser;formalizer
formularise;formularize
formulise;formulize
fortunise;fortunize
fossilisable;fossilizable
fossilisation;fossilization
fossilise;fossilize
fractionalisation;fractionalization
fractionalise;fractionalize
fractionisation;fractionization
fractionise;fractionize
franchiser;franchisor
fraternisation;fraternization
fraternise;fraternize
fraterniser;fraternizer
fustianise;fustianize
gaelicise;gaelicize
Gallicisation;Gallicization
Gallicise;Gallicize
Galliciser;Gallicizer
galvanisation;galvanization
galvanise;galvanize
galvaniser;galvanizer
gelatinise;gelatinize
genderise;genderize
generalisability;generalizability
generalisable;generalizable
generalisation;generalization
generalise;generalize
generaliser;generalizer
geneticise;geneticize
genuflection;genuflexion
geologise;geologize
geometrisation;geometrization
geometrise;geometrize
Germanisation;Germanization
Germanise;Germanize
Germaniser;Germanizer
ghettoisation;ghettoization
ghettoise;ghettoize
gigagram;gigagramme
