#French multiwords file used for chunking
#IMPORTANT: always use only straight (typewriter) apostrophes, not typographical apostrophes 
#separatorRegExp=[\t;]
Côte d'Ivoire;Z f s
El Salvador;Z e s
Ile de Man;Z f s
Ile Maurice;Z f s
Iles Salomons;Z f p
Iles Caïmans;Z f p
Iles Cocos;Z f p
Iles Cook;Z f p
Iles Féroé;Z f p
Iles Marshall;Z f p
Iles Pitcairn;Z f p
Île de Man;Z f s
Île Maurice;Z f s
1001 pots;Z e sp
The Place Beyond The Pines;Z e sp
BeIN Sports;Z e sp
Racing Glaciers;Z e sp
Border Collie;Z e sp
Gambas;Z e sp
13 raisons;Z e sp
Object Management Group;Z e sp
Offshore Technology Conference;Z f sp
Continue reading;N e sp
Fort Victoria Country Park;Z e sp
Îles Salomons;Z e sp
Îles Caïmans;Z e sp
Porto Rico;Z e sp
République tchèque;Z f s
République dominicaine;Z f s
République centrafricaine;Z f s
France médias;Z e sp
France 2;Z e sp
France 3;Z e sp
France 4;Z e sp
femme papillon; N f s
ED Autos;Z e sp
Sables d'Olonne;Z e sp
France 0;Z e sp
Trinité et Tobago; Z e sp
Sri Lanka;Z m s
Sierra Leone;Z f s
Îles Cocos;Z f p
Îles Cook;Z f p
Îles Féroé;Z f p
Îles Marshall;Z f p
Îles Pitcairn;Z f p
Burkina Faso;Z m s
Leonid Pasetchnik; Z e sp
Igor Plotnitski; Z e sp
Valéri Bolotov; Z e sp
Sergueï Kozlov; Z e sp
Victor Ianoukovytch; Z e sp
Volodymyr Zelensky; Z e sp
Petro Porochenko; Z e sp
Arseni Iatseniouk; Z e sp
Oleksandr Tourtchynov; Z e sp
Mykola Azarov; Z e sp
City guide;Z e sp
Sud Quotidien;Z e sp
iPhone iOS;Z e sp
Denys Chmyha; Z e sp
Rinat Akhmetov; Z e sp
Leonid Kravtchouk; Z e sp
Leonid Koutchma; Z e sp
Bohdana Matsotska; Z e sp
Alexeï Tchaly; Z e sp
Roustam Temirgaliev; Z e sp
Alexandre del Valle; Z e sp
Yochk'o Seffer; Z e sp
Sylvie Vartan; Z e sp
Moshé Naïm; Z e sp
Eddy Mitchell; Z e sp
François Mechali; Z e sp
Arsen Avakov; Z e sp
Volodimir Zelenski; Z e sp
Arseni Iatseniouk; Z e sp
barber shop; N e sp
en effet; A
par ailleurs; A
de plus en plus; A
maintes fois; A
Le Mans; Z m sp
US Army;Z e sp
Central Water Authority; Z e sp
LYRA NETWORK; Z e sp
pâte à tartiner; N f s
Clean boost; Z e sp
Azure Window; Z e sp
Carrera Séptima; Z e sp
Casa Sports; Z e sp
rock'n'roll; N m sp
rock and roll; N m sp
les Pende; Z e sp
les Ramones; Z e sp
à bon port; A
à tue-tête;A
Burn Out; N m sp
le Queen Ann; Z e sp
Queen Elizabeth Hospital; Z e sp
Queen Elizabeth Hall; Z e sp
Visa Checkout; Z e sp
Range Rover; Z e sp
Beat Generation; Z f sp
banana bread; N m sp
off shore; N m s
Naf Naf; Z e sp
Île d'Yeu; Z e sp
off shores; N m p
off shore; J m s
off shores; J m p
Hit Parade; Z e sp
Beats Mixr; Z e sp
doggy bag; N m s
Socket Dance; N f sp
doggy bags; N m p
Fat Beats; Z e sp
le Queen Elizabeth; Z e sp
le Queen Mary; Z e sp
pure players; N m sp
le plein été; N m sp
Kit Kat; Z e sp
attrape soleil; N m sp
à titre indicatif;A
bel et bien; A
pire encore; A
faits divers; N m sp
parti pris; N m sp
France 24; Z e sp
sans conteste; A
attache remorque; N m sp
table de nuit; N f s
burn out;N m sp
table à langer;N f s
tables à langer; N f p
Divers gauche; Z e sp
à la con; A
Divers droite; Z e sp
tables de nuit; N f p
Star Wars; Z e sp
Machine Learning; N m sp
drama queen; N f sp
Luna Park; Z e sp
bar Mitzvah; Z f sp
la la land; Z e sp
pyjama party; N f sp
M&M's;Z e sp
R&G Productions; Z e sp
S&P 500; Z e sp
Circo all'inCirca; Z e sp
App Store; Z e sp
Consumer Preview; Z e sp
J&J Auditorium; Z e sp
goutte à goutte; N m sp
tous anti-Covid; A
drag queens; N f p
touche à tout; N m sp
stand up paddle; N m sp
Royal Bank of Scotland; Z f sp
Central Coast Mariners; Z e sp
escape game; N m s
escape games; N m p
must have;N m sp
fortune cookies; N m sp
Royal Canin; Z e sp
Data mining; N m sp
street art; N m sp
street artist; N m s
street artists; N m p
Street Fighters; Z e sp
boys band; N m s
boys bands; N m p
vidéo poker; N m sp
shopping list; N f sp
National Australia Bank; N f sp
lunch box; N f sp
baby shower; N f s
baby showers; N f p
rock star; N f s
rock stars; N f p
US Dax;Z e sp
US Open;Z e sp
junior class;N f s
junior classes;N f p
master class;N f sp
master classes;N f p
Star Trek;Z m s
compte entreprise;N m s
comptes entreprise;N m p
Coco Pops;Z e sp
Non Import Draft;Z e sp
Black Hawk;N m s
Black Hawks;N m p
simple dames;N m sp
simple messieurs;N m sp
double dames;N m sp
double messieurs;N m sp
Grand Central Station;Z e sp
porte épingles;N m sp
MG Midget;Z f sp
crash test;N m s
crash tests;N m p
Grand Tortue-Ahmeyim;Z e sp
Grand Tortue Ahmeyim;Z e sp
n'importe quoi;A
n'importe qui;A
n'importe quel;A
noir et blanc	J e sp
top model	N e s
top models	N e p
auto tamponneuse	N f s
autos tamponneuses	N f p
carrosserie arrière	N f s
haute définition	N f s
un à un	A
une à une	A
plusiers fois	A
Notre Père	N m s
tout pile	A
Royal Canin	Z e sp
Sympa Tif	Z e sp
mass media	N m p
The Butterfly Effect	Z e sp
Il mondo del Vetro	Z e sp
Matos	Z e sp
Chanel Biz	Z e sp
Frisquet	Z e sp
Kawa	Z e sp
Tignasse	Z e sp
Trail Boss	Z e sp
Undercover Boss 	Z e sp
#Comment tuer son boss	Z e sp
Edith Piaf	Z f s
Violon Dingue	Z e sp
à tout va	A
à tout-va	A
ST Media	Z e sp
Sciences Po	Z e sp
Rolls Royce	Z e sp
state of the art	N m s
info presse	N f s
infos presse	N f p
gel douche	N m s
gels douche	N m p
visières bulle	N f p
visière bulle	N f s
