# result of org.languagetool.dev.eval.RealWordFalseAlarmEvaluator (grepped for "^DATA;"): 
mete;49;11;22.45
Thai;1001;51;5.09
subsidized;924;7;0.76
Harry;1001;1;0.10
poll;1001;138;13.79
tapir;158;28;17.72
whales;1001;88;8.79
bowl;1001;1;0.10
sorted;1001;11;1.10
tail;1001;139;13.89
reading;1001;0;0.00
lesson;1001;1;0.10
creak;15;2;13.33
crater;1001;1;0.10
sunny;1001;0;0.00
quire;97;66;68.04
except;1001;7;0.70
pact;1001;26;2.60
wringing;32;8;25.00
toe;1001;5;0.50
cession;381;142;37.27
bridal;261;9;3.45
band;1001;3;0.30
pheasant;485;131;27.01
sear;115;51;44.35
bred;1001;40;4.00
male;1001;8;0.80
idol;1001;63;6.29
tents;1001;74;7.39
emitting;1001;24;2.40
sighed;46;7;15.22
know;1001;25;2.50
loch;487;275;56.47
trey;12;1;8.33
horse;1001;3;0.30
red;1001;25;2.50
yews;30;15;50.00
mettle;79;21;26.58
nice;1001;0;0.00
steel;1001;2;0.20
capital;1001;1;0.10
massed;644;44;6.83
rot;979;25;2.55
expended;728;189;25.96
besought;26;0;0.00
carpel;58;7;12.07
preyed;402;11;2.74
gaffs;20;0;0.00
scull;68;30;44.12
comma;925;54;5.84
tenner;7;2;28.57
bight;125;91;72.80
groans;75;0;0.00
summary;1001;0;0.00
metal;1001;0;0.00
rabbet;16;6;37.50
auntie;25;8;32.00
veils;172;0;0.00
wreck;1001;0;0.00
hypocritical;309;0;0.00
he'll;554;0;0.00
hold;1001;0;0.00
dues;723;1;0.14
shall;1001;0;0.00
sacred;1001;9;0.90
bore;1001;16;1.60
breach;1001;0;0.00
krater;42;10;23.81
troopers;720;0;0.00
cruise;1001;34;3.40
baiting;304;1;0.33
draft;1001;8;0.80
heroine;1001;10;1.00
carpal;300;0;0.00
peeked;18;2;11.11
ante;515;49;9.51
grate;192;94;48.96
Wales;1001;7;0.70
veil;1001;4;0.40
base;1001;0;0.00
pyknic;0;0;NaN
kraft;88;19;21.59
faker;12;2;16.67
pistil;70;23;32.86
quince;139;0;0.00
corral;110;3;2.73
rampant;1001;22;2.20
Corps;1001;2;0.20
fir;1001;53;5.29
when;1001;0;0.00
dyne;36;2;5.56
nay;347;2;0.58
