Acrelândia
Assis Brasil
Brasiléia
Bujari
Capixaba
Cruzeiro do Sul
Epitaciolândia
Feijó
Jordão
Manoel Urbano
Marechal Thaumaturgo
Mâncio Lima
Plácido de Castro
Porto Acre
Porto Walter
Rio Branco
Rodrigues Alves
Santa Rosa do Purus
Sena Madureira
Senador Guiomard
Tarauacá
Xapuri
