Amapá
Calçoene
Cutias
Ferreira Gomes
Itaubal
Laranjal do Jari
Macapá
Mazagão
Oiapoque
Pedra Branca do Amapari
Porto Grande
Pracuúba
Santana
Serra do Navio
Tartarugalzinho
Vitória do Jari
